"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"302","765","吉浜のスネカ","","重要無形民俗文化財","風俗慣習","年中行事","","","20040206","","岩手県","","","","吉浜スネカ保存会","",""
"302","00000809","月浜のえんずのわり","","重要無形民俗文化財","風俗慣習","年中行事","","","20060315","","宮城県","","","","えんずのわり保存会","",""
"302","735","米川の水かぶり","","重要無形民俗文化財","風俗慣習","年中行事","","","20001227","","宮城県","","","","米川の水かぶり保存会","",""
"302","17","男鹿のナマハゲ","","重要無形民俗文化財","風俗慣習","年中行事","","","19780522","","秋田県","","","","男鹿のナマハゲ保存会","",""
"302","662","上郷の小正月行事","","重要無形民俗文化財","風俗慣習","年中行事","","","19981216","","秋田県","","","","横岡サエの神保存会
大森サエの神保存会","",""
"302","20","六郷のカマクラ行事","","重要無形民俗文化財","風俗慣習","年中行事","","","19820114","","秋田県","","","","六郷町カマクラ保存会","",""
"302","00000842","三島のサイノカミ","","重要無形民俗文化財","風俗慣習","年中行事","","","20080313","","福島県","","","","三島町年中行事保存会","",""
"302","712","遊佐の小正月行事","","重要無形民俗文化財","風俗慣習","年中行事","","","19991221","","山形県","","","","遊佐のアマハゲ保存会","",""
"302","39","猪俣の百八燈","","重要無形民俗文化財","風俗慣習","年中行事","","","19870108","","埼玉県","","","","猪俣の百八灯保存会","",""
"302","675","大磯の左義長","","重要無形民俗文化財","風俗慣習","年中行事","","","19971215","","神奈川県","","","","大磯町左義長保存会","",""
"302","00000874","三戸のオショロ流し","","重要無形民俗文化財","風俗慣習","年中行事","","","20110309","","神奈川県","三浦市初声町三戸","","","三戸お精霊流し保存会","35.17381000000000","139.61890000000000"
"302","55","青海の竹のからかい","","重要無形民俗文化財","風俗慣習","年中行事","","","19871228","","新潟県","","","","青海竹のからかい保存会","",""
"302","00000872","邑町のサイノカミ","","重要無形民俗文化財","風俗慣習","年中行事","","","20100312","","富山県","","","","塞の神まつり保存会","",""
"302","60","能登のアマメハギ","","重要無形民俗文化財","風俗慣習","年中行事","","","19790203","","石川県","","","","能登のアマメハギ・面様年頭保存会（能登町秋吉地区アマメハギ保存会，門前町アマメハギ保存会，輪島市面様年頭保存会）","",""
"302","71","野沢温泉の道祖神祭り","","重要無形民俗文化財","風俗慣習","年中行事","","","19931213","","長野県","下高井郡野沢温泉村","","","野沢温泉村野沢組","36.92269000000000","138.44610000000000"
"302","768","鳥羽の火祭り","","重要無形民俗文化財","風俗慣習","年中行事","","","20040206","","愛知県","","","","鳥羽区","",""
"302","92","志摩加茂五郷の盆祭行事","","重要無形民俗文化財","風俗慣習","年中行事","","","19871228","","三重県","","","","松尾地下，河内地下","",""
"302","00000813","東光寺の鬼会","","重要無形民俗文化財","風俗慣習","年中行事","","","20060315","","兵庫県","加西市上万願寺392","","","東光寺追儺式及び田遊び保存会","34.96675000000000","134.82680000000000"
"302","00000883","江包・大西の御綱","","重要無形民俗文化財","風俗慣習","年中行事","","","20120308","","奈良県","","","","江包・大西の御綱祭り保存会","",""
"302","679","陀々堂の鬼はしり","","重要無形民俗文化財","風俗慣習","年中行事","","","19951226","","奈良県","","","","念仏寺鬼はしり保存会","",""
"302","00000824","酒津のトンドウ","","重要無形民俗文化財","風俗慣習","年中行事","","","20070307","","鳥取県","","","","酒津とんど祭り保存会","",""
"302","00000800","五十猛のグロ","","重要無形民俗文化財","風俗慣習","年中行事","","","20050221","","島根県","","","","大浦グロ保存会","",""
"302","00000857","阿月の神明祭","","重要無形民俗文化財","風俗慣習","年中行事","","","20090311","","山口県","","","","神明祭顕彰会","",""
"302","00000885","地福のトイトイ","","重要無形民俗文化財","風俗慣習","年中行事","","","20120308","","山口県","","","","地福といとい保存会","",""
"302","124","周防祖生の柱松行事","","重要無形民俗文化財","風俗慣習","年中行事","","","19890320","","山口県","","","","祖生柱松行事保存会
中村柱松保存会，山田柱松保存会，落合柱松保存会","",""
"302","136","大善寺玉垂宮の鬼夜","","重要無形民俗文化財","風俗慣習","年中行事","","","19941213","","福岡県","","","","大善寺玉垂宮鬼夜保存会","",""
"302","760","見島のカセドリ","","重要無形民俗文化財","風俗慣習","年中行事","","","20020220","","佐賀県","","","","加勢鳥保存会","",""
