管理対象ID,名称,文化財種類,種別1,種別2,重文指定年月日,都道府県,所在地,管理団体又は責任者
1,早池峰神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19760504,岩手県,,早池峰神楽保存会　大償神楽保存会，岳神楽保存会
2,秋保の田植踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,19760504,宮城県,,秋保の田植踊保存会　湯元の田植踊保存会，長袋の田植踊保存会，馬場の田植踊保存会
3,大日堂舞楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19760504,秋田県,,大日堂舞楽保存会
4,黒川能,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19760504,山形県,,黒川能保存会
5,御宝殿の稚児田楽・風流,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,19760504,福島県,,御宝殿熊野神社田楽保存会
6,綱火,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19760504,茨城県,,"綱火保存連合会
　高岡流綱火更進団，小張松下流綱火保存会"
7,鷲宮催馬楽神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19760504,埼玉県,,催馬楽神楽保存会
8,鬼来迎,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19760504,千葉県,山武郡横芝光町虫生,鬼来迎保存会
9,板橋の田遊び,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,19760504,東京都,,板橋の田遊び保存連合会　徳丸の田遊び保存会，下赤塚の田遊び保存会
10,チャッキラコ,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19760504,神奈川県,,ちゃっきらこ保存会
11,綾子舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19760504,新潟県,,柏崎市綾子舞保存振興会
12,奥能登のあえのこと,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p1,19760504,石川県,,奥能登のあえのこと保存会
13,水海の田楽・能舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,19760504,福井県,,鵜甘神社氏子会
14,天津司舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19760504,山梨県,,天津司舞保存会
15,能郷の能・狂言,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19760504,岐阜県,,能と狂言の保存会
16,西浦の田楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,19760504,静岡県,,西浦田楽保存会
17,花祭,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19760504,愛知県,,北設楽花祭保存会　古戸花祭保存会，下粟代花祭保存会，小林花祭保存会，中設楽花祭保存会，月花　祭保存会，布川花祭保存会，足込花祭保存会，御園花祭保存会，東薗目花祭保存　会，河内花祭保存会，中在家花祭保存会，山内花祭保存会，間黒花祭保存会，坂　宇場花祭保存会，上黒川花祭保存会，下黒川花祭保存会，津具花祭保存会
18,壬生狂言,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19760504,京都府,,壬生大念仏講中
19,聖霊会の舞楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19760504,大阪府,,天王寺舞楽協会
20,淡路人形浄瑠璃,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19760504,兵庫県,,財団法人淡路人形協会
21,題目立,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e4,19760504,奈良県,,題目立保存会
22,那智の田楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,19760504,和歌山県,,那智田楽保存会
23,佐陀神能,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19760504,島根県,,佐陀神能保持者会
24,白石踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19760504,岡山県,,白石踊会
25,壬生の花田植,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p1,19760504,広島県,,壬生の花田植保存会
26,西祖谷の神代踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19760504,徳島県,,神代踊保存会
27,綾子踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19760504,香川県,,佐文綾子踊保存会
28,幸若舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e4,19760504,福岡県,,幸若舞社中
29,諸鈍芝居,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19760504,鹿児島県,,諸鈍芝居保存会
30,多良間の豊年祭,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e7,19760504,沖縄県,,多良間村民俗芸能保存会
31,毛越寺の延年,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e5,19770517,岩手県,,毛越寺延年の舞保存会
32,保呂羽山の霜月神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19770517,秋田県,,保呂羽山霜月神楽保存会
33,日立風流物,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19770517,茨城県,,日立郷土芸能保存会
34,安中中宿の燈篭人形,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19770517,群馬県,,中宿糸繰燈篭人形保存会
35,佐渡の人形芝居（文弥人形、説経人形、のろま人形）,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19770517,新潟県,,"佐渡人形芝居保存会
　佐渡文弥人形振興会，新穂村人形保存会"
36,尾口のでくまわし,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19770517,石川県,,深瀬木偶廻し保存会，尾口村東二口区文弥人形浄瑠璃保存会
37,雪祭,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e7,19770517,長野県,,伊豆神社雪祭り保存会
38,長滝の延年,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e5,19770517,岐阜県,,長滝の延年保存会
39,藤守の田遊び,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,19770517,静岡県,,藤守の田遊び保存会
40,御頭神事,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19770517,三重県,,高向区
41,上鴨川住吉神社神事舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e7,19770517,兵庫県,,住吉神社神事舞踊保存会
42,隠岐国分寺蓮華会舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e5,19770517,島根県,,隠岐国分寺蓮華会舞保存会
43,滝宮の念仏踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19770517,香川県,,滝宮念仏踊保存会
44,吉良川の御田祭,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,19770517,高知県,,御田祭保存会
45,八女福島の燈篭人形,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19770517,福岡県,,文化財福島燈篭人形保存会
46,武雄の荒踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19770517,佐賀県,,高瀬荒踊保存会，中野荒踊保存会，宇土手荒踊保存会
47,修正鬼会,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e7,19770517,大分県,,長岩屋修正鬼会保存会，岩戸寺修正鬼会保存会，成仏寺修正鬼会保存会
48,米良神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19770517,宮崎県,,銀鏡神楽保存会
49,甑島のトシドン,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,19770517,鹿児島県,,"甑島トシドン保存会
（手打港トシドン保存会，手打麓トシドン保存会，手打本町トシドン保存会，片野浦トシドン保存会，青瀬トシドン保存会，瀬々野浦トシドン保存会）"
50,竹富島の種子取,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e7,19770517,沖縄県,,竹富島民俗芸能保存会
51,男鹿のナマハゲ,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,19780522,秋田県,,男鹿のナマハゲ保存会
52,杉沢比山,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19780522,山形県,,杉沢比山保存会
53,相馬野馬追,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p3,19780522,福島県,,相馬野馬追保存会
54,牛の角突きの習俗,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p3,19780522,新潟県,,二十村郷牛の角突き習俗保存会
55,弥彦神社燈篭おしと舞楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19780522,新潟県,,弥彦神社舞楽燈篭神事保存会
56,睦月神事,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,19780522,福井県,,賀茂神社睦月神事奉賛会
57,天竜村の霜月神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19780522,長野県,,坂部大森諏訪神社氏子会，向方お潔め祭保存会，池大神社氏子会
58,三河の田楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,19780522,愛知県,,三河三田楽連合保存会　田峰田楽保存会，鳳来寺田楽保存会，黒沢田楽保存会
59,高千穂の夜神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19780522,宮崎県,,高千穂地区神楽保存会，岩戸地区神楽保存会，田原地区神楽保存会，上野地区神楽保存会
60,安田のシヌグ,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e7,19780522,沖縄県,,安田古文化財保存会
61,八戸のえんぶり,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,19790203,青森県,,八戸地方えんぶり連合協議会
62,小迫の延年,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e5,19790203,宮城県,,小迫延年保存会
63,烏山の山あげ行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19790203,栃木県,,烏山山あげ保存会
64,秩父祭の屋台行事と神楽,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19790203,埼玉県,,秩父祭保存委員会
65,佐渡の車田植,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p1,19790203,新潟県,,佐渡の車田植保存会
66,高岡御車山祭の御車山行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19790203,富山県,,高岡御車山保存会
67,能登のアマメハギ,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,19790203,石川県,,能登のアマメハギ・面様年頭保存会（能登町秋吉地区アマメハギ保存会，門前町アマメハギ保存会，輪島市面様年頭保存会）
68,遠山の霜月祭,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19790203,長野県,,南信濃村遠山霜月祭保存会　大野神社氏子会，三条神社氏子会，八重河内正八幡神社遠山霜月，祭保存会，城　神社氏子会，愛宕神社氏子会，和田諏訪神社遠山霜月祭保存会，日月神社氏子会　，稲荷神社氏子会，木沢八幡神社遠山霜月祭保存会，白山神社氏子会，御熊野神　社氏子会，宇佐八幡神社氏子会，遠山天満宮奉賛会，上村遠山霜月祭保存会　上村遠山霜月祭保存会上町支部，上村遠山霜月祭保存会中郷支部，上村遠山霜　月祭保存会程野支部，上村遠山霜月祭保存会下栗支部
69,高山祭の屋台行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19790203,岐阜県,,日枝神社氏子山王祭保存会，八幡宮氏子八幡祭保存会
70,南宮の神事芸能,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e7,19790203,岐阜県,,南宮神社神事芸能保存会
71,長浜曳山祭の曳山行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19790203,滋賀県,,（公益財団法人）長浜曳山文化協会
72,京都祇園祭の山鉾行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19790203,京都府,,公益財団法人祇園祭山鉾連合会
73,住吉の御田植,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,19790203,大阪府,,御田植神事保存会
74,春日若宮おん祭の神事芸能,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e7,19790203,奈良県,,春日若宮おん祭保存会
75,大元神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19790203,島根県,,邑智郡大元神楽保存会
76,備中神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19790203,岡山県,,備中神楽成羽保存会
77,比婆荒神神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19790203,広島県,,比婆荒神神楽保存会
78,岩国行波の神舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19790203,山口県,,岩国行波の神舞保存会
79,博多祇園山笠行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19790203,福岡県,,博多祇園山笠振興会
80,長崎くんちの奉納踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e7,19790203,長崎県,,長崎伝統芸能振興会
81,弘前のねぷた,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19800128,青森県,,弘前ねぷた保存会
82,青森のねぶた,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19800128,青森県,,青森ねぶた祭保存会
83,永井の大念仏剣舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19800128,岩手県,,永井大念仏剣舞保存会
84,秋田の竿灯,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19800128,秋田県,,秋田市竿灯会
85,金沢の羽山ごもり,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19800128,福島県,,羽山ごもり保存会
86,小河内の鹿島踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19800128,東京都,,小河内の郷土芸能保存団体協議会
87,相模人形芝居,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19800128,神奈川県,,"相模人形芝居連合会
　林座，長谷座，下中座"
88,根知山寺の延年,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e5,19800128,新潟県,,日吉神社奉賛会
